date,cpi,updated
1948-09-01,3.7,2020-09-04T02:39:43Z
1948-12-01,3.8,2020-09-04T02:39:43Z
1949-03-01,3.9,2020-09-04T02:39:43Z
1949-06-01,4,2020-09-04T02:39:43Z
1949-09-01,4.1,2020-09-04T02:39:43Z
1949-12-01,4.1,2020-09-04T02:39:43Z
1950-03-01,4.2,2020-09-04T02:39:43Z
1950-06-01,4.3,2020-09-04T02:39:43Z
1950-09-01,4.4,2020-09-04T02:39:43Z
1950-12-01,4.6,2020-09-04T02:39:43Z
1951-03-01,4.8,2020-09-04T02:39:43Z
1951-06-01,5.1,2020-09-04T02:39:43Z
1951-09-01,5.3,2020-09-04T02:39:43Z
1951-12-01,5.7,2020-09-04T02:39:43Z
1952-03-01,5.9,2020-09-04T02:39:43Z
1952-06-01,6.1,2020-09-04T02:39:43Z
1952-09-01,6.2,2020-09-04T02:39:43Z
1952-12-01,6.3,2020-09-04T02:39:43Z
1953-03-01,6.3,2020-09-04T02:39:43Z
1953-06-01,6.4,2020-09-04T02:39:43Z
1953-09-01,6.5,2020-09-04T02:39:43Z
1953-12-01,6.4,2020-09-04T02:39:43Z
1954-03-01,6.5,2020-09-04T02:39:43Z
1954-06-01,6.5,2020-09-04T02:39:43Z
1954-09-01,6.5,2020-09-04T02:39:43Z
1954-12-01,6.5,2020-09-04T02:39:43Z
1955-03-01,6.5,2020-09-04T02:39:43Z
1955-06-01,6.6,2020-09-04T02:39:43Z
1955-09-01,6.6,2020-09-04T02:39:43Z
1955-12-01,6.7,2020-09-04T02:39:43Z
1956-03-01,6.7,2020-09-04T02:39:43Z
1956-06-01,7,2020-09-04T02:39:43Z
1956-09-01,7.1,2020-09-04T02:39:43Z
1956-12-01,7.1,2020-09-04T02:39:43Z
1957-03-01,7.1,2020-09-04T02:39:43Z
1957-06-01,7.2,2020-09-04T02:39:43Z
1957-09-01,7.2,2020-09-04T02:39:43Z
1957-12-01,7.2,2020-09-04T02:39:43Z
1958-03-01,7.2,2020-09-04T02:39:43Z
1958-06-01,7.2,2020-09-04T02:39:43Z
1958-09-01,7.2,2020-09-04T02:39:43Z
1958-12-01,7.3,2020-09-04T02:39:43Z
1959-03-01,7.3,2020-09-04T02:39:43Z
1959-06-01,7.3,2020-09-04T02:39:43Z
1959-09-01,7.4,2020-09-04T02:39:43Z
1959-12-01,7.5,2020-09-04T02:39:43Z
1960-03-01,7.5,2020-09-04T02:39:43Z
1960-06-01,7.6,2020-09-04T02:39:43Z
1960-09-01,7.7,2020-09-04T02:39:43Z
1960-12-01,7.8,2020-09-04T02:39:43Z
1961-03-01,7.8,2020-09-04T02:39:43Z
1961-06-01,7.9,2020-09-04T02:39:43Z
1961-09-01,7.8,2020-09-04T02:39:43Z
1961-12-01,7.8,2020-09-04T02:39:43Z
1962-03-01,7.8,2020-09-04T02:39:43Z
1962-06-01,7.8,2020-09-04T02:39:43Z
1962-09-01,7.8,2020-09-04T02:39:43Z
1962-12-01,7.8,2020-09-04T02:39:43Z
1963-03-01,7.8,2020-09-04T02:39:43Z
1963-06-01,7.8,2020-09-04T02:39:43Z
1963-09-01,7.9,2020-09-04T02:39:43Z
1963-12-01,7.9,2020-09-04T02:39:43Z
1964-03-01,8,2020-09-04T02:39:43Z
1964-06-01,8,2020-09-04T02:39:43Z
1964-09-01,8.1,2020-09-04T02:39:43Z
1964-12-01,8.2,2020-09-04T02:39:43Z
1965-03-01,8.2,2020-09-04T02:39:43Z
1965-06-01,8.3,2020-09-04T02:39:43Z
1965-09-01,8.4,2020-09-04T02:39:43Z
1965-12-01,8.5,2020-09-04T02:39:43Z
1966-03-01,8.6,2020-09-04T02:39:43Z
1966-06-01,8.6,2020-09-04T02:39:43Z
1966-09-01,8.6,2020-09-04T02:39:43Z
1966-12-01,8.7,2020-09-04T02:39:43Z
1967-03-01,8.8,2020-09-04T02:39:43Z
1967-06-01,8.9,2020-09-04T02:39:43Z
1967-09-01,9,2020-09-04T02:39:43Z
1967-12-01,9,2020-09-04T02:39:43Z
1968-03-01,9.1,2020-09-04T02:39:43Z
1968-06-01,9.1,2020-09-04T02:39:43Z
1968-09-01,9.2,2020-09-04T02:39:43Z
1968-12-01,9.2,2020-09-04T02:39:43Z
1969-03-01,9.4,2020-09-04T02:39:43Z
1969-06-01,9.4,2020-09-04T02:39:43Z
1969-09-01,9.5,2020-09-04T02:39:43Z
1969-12-01,9.5,2020-09-04T02:39:43Z
1970-03-01,9.6,2020-09-04T02:39:43Z
1970-06-01,9.7,2020-09-04T02:39:43Z
1970-09-01,9.8,2020-09-04T02:39:43Z
1970-12-01,10,2020-09-04T02:39:43Z
1971-03-01,10.1,2020-09-04T02:39:43Z
1971-06-01,10.2,2020-09-04T02:39:43Z
1971-09-01,10.5,2020-09-04T02:39:43Z
1971-12-01,10.7,2020-09-04T02:39:43Z
1972-03-01,10.8,2020-09-04T02:39:43Z
1972-06-01,10.9,2020-09-04T02:39:43Z
1972-09-01,11.1,2020-09-04T02:39:43Z
1972-12-01,11.2,2020-09-04T02:39:43Z
1973-03-01,11.4,2020-09-04T02:39:43Z
1973-06-01,11.8,2020-09-04T02:39:43Z
1973-09-01,12.2,2020-09-04T02:39:43Z
1973-12-01,12.6,2020-09-04T02:39:43Z
1974-03-01,13,2020-09-04T02:39:43Z
1974-06-01,13.5,2020-09-04T02:39:43Z
1974-09-01,14.2,2020-09-04T02:39:43Z
1974-12-01,14.7,2020-09-04T02:39:43Z
1975-03-01,15.3,2020-09-04T02:39:43Z
1975-06-01,15.8,2020-09-04T02:39:43Z
1975-09-01,15.9,2020-09-04T02:39:43Z
1975-12-01,16.8,2020-09-04T02:39:43Z
1976-03-01,17.3,2020-09-04T02:39:43Z
1976-06-01,17.7,2020-09-04T02:39:43Z
1976-09-01,18.1,2020-09-04T02:39:43Z
1976-12-01,19.2,2020-09-04T02:39:43Z
1977-03-01,19.6,2020-09-04T02:39:43Z
1977-06-01,20.1,2020-09-04T02:39:43Z
1977-09-01,20.5,2020-09-04T02:39:43Z
1977-12-01,21,2020-09-04T02:39:43Z
1978-03-01,21.3,2020-09-04T02:39:43Z
1978-06-01,21.7,2020-09-04T02:39:43Z
1978-09-01,22.1,2020-09-04T02:39:43Z
1978-12-01,22.6,2020-09-04T02:39:43Z
1979-03-01,23,2020-09-04T02:39:43Z
1979-06-01,23.6,2020-09-04T02:39:43Z
1979-09-01,24.2,2020-09-04T02:39:43Z
1979-12-01,24.9,2020-09-04T02:39:43Z
1980-03-01,25.4,2020-09-04T02:39:43Z
1980-06-01,26.2,2020-09-04T02:39:43Z
1980-09-01,26.6,2020-09-04T02:39:43Z
1980-12-01,27.2,2020-09-04T02:39:43Z
1981-03-01,27.8,2020-09-04T02:39:43Z
1981-06-01,28.4,2020-09-04T02:39:43Z
1981-09-01,29,2020-09-04T02:39:43Z
1981-12-01,30.2,2020-09-04T02:39:43Z
1982-03-01,30.8,2020-09-04T02:39:43Z
1982-06-01,31.5,2020-09-04T02:39:43Z
1982-09-01,32.6,2020-09-04T02:39:43Z
1982-12-01,33.6,2020-09-04T02:39:43Z
1983-03-01,34.3,2020-09-04T02:39:43Z
1983-06-01,35,2020-09-04T02:39:43Z
1983-09-01,35.6,2020-09-04T02:39:43Z
1983-12-01,36.5,2020-09-04T02:39:43Z
1984-03-01,36.3,2020-09-04T02:39:43Z
1984-06-01,36.4,2020-09-04T02:39:43Z
1984-09-01,36.9,2020-09-04T02:39:43Z
1984-12-01,37.4,2020-09-04T02:39:43Z
1985-03-01,37.9,2020-09-04T02:39:43Z
1985-06-01,38.8,2020-09-04T02:39:43Z
1985-09-01,39.7,2020-09-04T02:39:43Z
1985-12-01,40.5,2020-09-04T02:39:43Z
1986-03-01,41.4,2020-09-04T02:39:43Z
1986-06-01,42.1,2020-09-04T02:39:43Z
1986-09-01,43.2,2020-09-04T02:39:43Z
1986-12-01,44.4,2020-09-04T02:39:43Z
1987-03-01,45.3,2020-09-04T02:39:43Z
1987-06-01,46,2020-09-04T02:39:43Z
1987-09-01,46.8,2020-09-04T02:39:43Z
1987-12-01,47.6,2020-09-04T02:39:43Z
1988-03-01,48.4,2020-09-04T02:39:43Z
1988-06-01,49.3,2020-09-04T02:39:43Z
1988-09-01,50.2,2020-09-04T02:39:43Z
1988-12-01,51.2,2020-09-04T02:39:43Z
1989-03-01,51.7,2020-09-04T02:39:43Z
1989-06-01,53,2020-09-04T02:39:43Z
1989-09-01,54.2,2020-09-04T02:39:43Z
1989-12-01,55.2,2020-09-04T02:39:43Z
1990-03-01,56.2,2020-09-04T02:39:43Z
1990-06-01,57.1,2020-09-04T02:39:43Z
1990-09-01,57.5,2020-09-04T02:39:43Z
1990-12-01,59,2020-09-04T02:39:43Z
1991-03-01,58.9,2020-09-04T02:39:43Z
1991-06-01,59,2020-09-04T02:39:43Z
1991-09-01,59.3,2020-09-04T02:39:43Z
1991-12-01,59.9,2020-09-04T02:39:43Z
1992-03-01,59.9,2020-09-04T02:39:43Z
1992-06-01,59.7,2020-09-04T02:39:43Z
1992-09-01,59.8,2020-09-04T02:39:43Z
1992-12-01,60.1,2020-09-04T02:39:43Z
1993-03-01,60.6,2020-09-04T02:39:43Z
1993-06-01,60.8,2020-09-04T02:39:43Z
1993-09-01,61.1,2020-09-04T02:39:43Z
1993-12-01,61.2,2020-09-04T02:39:43Z
1994-03-01,61.5,2020-09-04T02:39:43Z
1994-06-01,61.9,2020-09-04T02:39:43Z
1994-09-01,62.3,2020-09-04T02:39:43Z
1994-12-01,62.8,2020-09-04T02:39:43Z
1995-03-01,63.8,2020-09-04T02:39:43Z
1995-06-01,64.7,2020-09-04T02:39:43Z
1995-09-01,65.5,2020-09-04T02:39:43Z
1995-12-01,66,2020-09-04T02:39:43Z
1996-03-01,66.2,2020-09-04T02:39:43Z
1996-06-01,66.7,2020-09-04T02:39:43Z
1996-09-01,66.9,2020-09-04T02:39:43Z
1996-12-01,67,2020-09-04T02:39:43Z
1997-03-01,67.1,2020-09-04T02:39:43Z
1997-06-01,66.9,2020-09-04T02:39:43Z
1997-09-01,66.6,2020-09-04T02:39:43Z
1997-12-01,66.8,2020-09-04T02:39:43Z
1998-03-01,67,2020-09-04T02:39:43Z
1998-06-01,67.4,2020-09-04T02:39:43Z
1998-09-01,67.5,2020-09-04T02:39:43Z
1998-12-01,67.8,2020-09-04T02:39:43Z
1999-03-01,67.8,2020-09-04T02:39:43Z
1999-06-01,68.1,2020-09-04T02:39:43Z
1999-09-01,68.7,2020-09-04T02:39:43Z
1999-12-01,69.1,2020-09-04T02:39:43Z
2000-03-01,69.7,2020-09-04T02:39:43Z
2000-06-01,70.2,2020-09-04T02:39:43Z
2000-09-01,72.9,2020-09-04T02:39:43Z
2000-12-01,73.1,2020-09-04T02:39:43Z
2001-03-01,73.9,2020-09-04T02:39:43Z
2001-06-01,74.5,2020-09-04T02:39:43Z
2001-09-01,74.7,2020-09-04T02:39:43Z
2001-12-01,75.4,2020-09-04T02:39:43Z
2002-03-01,76.1,2020-09-04T02:39:43Z
2002-06-01,76.6,2020-09-04T02:39:43Z
2002-09-01,77.1,2020-09-04T02:39:43Z
2002-12-01,77.6,2020-09-04T02:39:43Z
2003-03-01,78.6,2020-09-04T02:39:43Z
2003-06-01,78.6,2020-09-04T02:39:43Z
2003-09-01,79.1,2020-09-04T02:39:43Z
2003-12-01,79.5,2020-09-04T02:39:43Z
2004-03-01,80.2,2020-09-04T02:39:43Z
2004-06-01,80.6,2020-09-04T02:39:43Z
2004-09-01,80.9,2020-09-04T02:39:43Z
2004-12-01,81.5,2020-09-04T02:39:43Z
2005-03-01,82.1,2020-09-04T02:39:43Z
2005-06-01,82.6,2020-09-04T02:39:43Z
2005-09-01,83.4,2020-09-04T02:39:43Z
2005-12-01,83.8,2020-09-04T02:39:43Z
2006-03-01,84.5,2020-09-04T02:39:43Z
2006-06-01,85.9,2020-09-04T02:39:43Z
2006-09-01,86.7,2020-09-04T02:39:43Z
2006-12-01,86.6,2020-09-04T02:39:43Z
2007-03-01,86.6,2020-09-04T02:39:43Z
2007-06-01,87.7,2020-09-04T02:39:43Z
2007-09-01,88.3,2020-09-04T02:39:43Z
2007-12-01,89.1,2020-09-04T02:39:43Z
2008-03-01,90.3,2020-09-04T02:39:43Z
2008-06-01,91.6,2020-09-04T02:39:43Z
2008-09-01,92.7,2020-09-04T02:39:43Z
2008-12-01,92.4,2020-09-04T02:39:43Z
2009-03-01,92.5,2020-09-04T02:39:43Z
2009-06-01,92.9,2020-09-04T02:39:43Z
2009-09-01,93.8,2020-09-04T02:39:43Z
2009-12-01,94.3,2020-09-04T02:39:43Z
2010-03-01,95.2,2020-09-04T02:39:43Z
2010-06-01,95.8,2020-09-04T02:39:43Z
2010-09-01,96.5,2020-09-04T02:39:43Z
2010-12-01,96.9,2020-09-04T02:39:43Z
2011-03-01,98.3,2020-09-04T02:39:43Z
2011-06-01,99.2,2020-09-04T02:39:43Z
2011-09-01,99.8,2020-09-04T02:39:43Z
2011-12-01,99.8,2020-09-04T02:39:43Z
2012-03-01,99.9,2020-09-04T02:39:43Z
2012-06-01,100.4,2020-09-04T02:39:43Z
2012-09-01,101.8,2020-09-04T02:39:43Z
2012-12-01,102,2020-09-04T02:39:43Z
2013-03-01,102.4,2020-09-04T02:39:43Z
2013-06-01,102.8,2020-09-04T02:39:43Z
2013-09-01,104,2020-09-04T02:39:43Z
2013-12-01,104.8,2020-09-04T02:39:43Z
2014-03-01,105.4,2020-09-04T02:39:43Z
2014-06-01,105.9,2020-09-04T02:39:43Z
2014-09-01,106.4,2020-09-04T02:39:43Z
2014-12-01,106.6,2020-09-04T02:39:43Z
2015-03-01,106.8,2020-09-04T02:39:43Z
2015-06-01,107.5,2020-09-04T02:39:43Z
2015-09-01,108,2020-09-04T02:39:43Z
2015-12-01,108.4,2020-09-04T02:39:43Z
2016-03-01,108.2,2020-09-04T02:39:43Z
2016-06-01,108.6,2020-09-04T02:39:43Z
2016-09-01,109.4,2020-09-04T02:39:43Z
2016-12-01,110,2020-09-04T02:39:43Z
2017-03-01,110.5,2020-09-04T02:39:43Z
2017-06-01,110.7,2020-09-04T02:39:43Z
2017-09-01,111.4,2020-09-04T02:39:43Z
2017-12-01,112.1,2020-09-04T02:39:43Z
2018-03-01,112.6,2020-09-04T02:39:43Z
2018-06-01,113,2020-09-04T02:39:43Z
2018-09-01,113.5,2020-09-04T02:39:43Z
2018-12-01,114.1,2020-09-04T02:39:43Z
2019-03-01,114.1,2020-09-04T02:39:43Z
2019-06-01,114.8,2020-09-04T02:39:43Z
2019-09-01,115.4,2020-09-04T02:39:43Z
2019-12-01,116.2,2020-09-04T02:39:43Z
2020-03-01,116.6,2020-09-04T02:39:43Z
2020-06-01,114.4,2020-09-04T02:39:43Z
